Name;Station;Time(norwegian mean time);Precipitation (24 h);Average of mean wind speed from main obs. (24 h);Mean air temperature (24 h)
Bergen - Florida;SN50540;01.01.2021;0;0.8;-1.5
Bergen - Florida;SN50540;02.01.2021;0;1.7;0.7
Bergen - Florida;SN50540;03.01.2021;0;0.8;-2.8
Bergen - Florida;SN50540;04.01.2021;0;0.7;-4.6
Bergen - Florida;SN50540;05.01.2021;0;0.7;-4.1
Bergen - Florida;SN50540;06.01.2021;0;1;-5.2
Bergen - Florida;SN50540;07.01.2021;0;2.6;-1.3
Bergen - Florida;SN50540;08.01.2021;0;1.5;-2.3
Bergen - Florida;SN50540;09.01.2021;0;5.5;1.1
Bergen - Florida;SN50540;10.01.2021;15.4;2.4;0.4
Bergen - Florida;SN50540;11.01.2021;8.4;1.8;-2.1
Bergen - Florida;SN50540;12.01.2021;0.9;4.6;-0.7
Bergen - Florida;SN50540;13.01.2021;3.5;3.3;-1.5
Bergen - Florida;SN50540;14.01.2021;0;1.2;-4.7
Bergen - Florida;SN50540;15.01.2021;0;1.2;-5.6
Bergen - Florida;SN50540;16.01.2021;0;4.5;-1.1
Bergen - Florida;SN50540;17.01.2021;1.2;6.4;2.3
Bergen - Florida;SN50540;18.01.2021;6.5;5.5;3
Bergen - Florida;SN50540;19.01.2021;9;3.6;2.5
Bergen - Florida;SN50540;20.01.2021;0.1;3.8;3.8
Bergen - Florida;SN50540;21.01.2021;12.7;7.2;6.9
Bergen - Florida;SN50540;22.01.2021;4.9;2.7;3.9
Bergen - Florida;SN50540;23.01.2021;38.7;3.5;2.7
Bergen - Florida;SN50540;24.01.2021;3.5;2.8;1
Bergen - Florida;SN50540;25.01.2021;0;1.4;-1.9
Bergen - Florida;SN50540;26.01.2021;2.3;1.8;-1
Bergen - Florida;SN50540;27.01.2021;0.3;1.2;-4.6
Bergen - Florida;SN50540;28.01.2021;0;2.2;-3.6
Bergen - Florida;SN50540;29.01.2021;1.3;2.1;-1.6
Bergen - Florida;SN50540;30.01.2021;0.4;1.9;-0.4
Bergen - Florida;SN50540;31.01.2021;3.3;2.5;-1.1
Bergen - Florida;SN50540;01.02.2021;5.5;1.2;-5.2
Bergen - Florida;SN50540;02.02.2021;0;1;-4.9
Bergen - Florida;SN50540;03.02.2021;0;1.3;-6.9
Bergen - Florida;SN50540;04.02.2021;0;1.3;-6
Bergen - Florida;SN50540;05.02.2021;0.7;2.3;-6.3
Bergen - Florida;SN50540;06.02.2021;0;1.4;-6.5
Bergen - Florida;SN50540;07.02.2021;0;1;-7.5
Bergen - Florida;SN50540;08.02.2021;0;2.8;-5.6
Bergen - Florida;SN50540;09.02.2021;0;3.8;-5.4
Bergen - Florida;SN50540;10.02.2021;0;1.5;-6.7
Bergen - Florida;SN50540;11.02.2021;0;2.7;-4.9
Bergen - Florida;SN50540;12.02.2021;0;1.1;-7.6
Bergen - Florida;SN50540;13.02.2021;0;1.3;-6
Bergen - Florida;SN50540;14.02.2021;0;7;1.8
Bergen - Florida;SN50540;15.02.2021;0;6.2;3.2
Bergen - Florida;SN50540;16.02.2021;0.3;4.3;4.4
Bergen - Florida;SN50540;17.02.2021;2.2;3.5;4.7
Bergen - Florida;SN50540;18.02.2021;3.2;8.7;7.3
Bergen - Florida;SN50540;19.02.2021;1.3;6.9;6.3
Bergen - Florida;SN50540;20.02.2021;12.7;6.4;7.9
Bergen - Florida;SN50540;21.02.2021;20.3;6.1;8.8
Bergen - Florida;SN50540;22.02.2021;0;3.5;7.8
Bergen - Florida;SN50540;23.02.2021;21.9;5.8;7.4
Bergen - Florida;SN50540;24.02.2021;26.8;7;8.5
Bergen - Florida;SN50540;25.02.2021;4.6;5.7;7.2
Bergen - Florida;SN50540;26.02.2021;13.8;2.4;6.8
Bergen - Florida;SN50540;27.02.2021;4.2;2.8;6.6
Bergen - Florida;SN50540;28.02.2021;2.4;2.4;6.6
Bergen - Florida;SN50540;01.03.2021;0.2;2.8;5.8
Bergen - Florida;SN50540;02.03.2021;5.7;1.7;6.2
Bergen - Florida;SN50540;03.03.2021;0;3.7;4.9
Bergen - Florida;SN50540;04.03.2021;0;4;2.1
Bergen - Florida;SN50540;05.03.2021;0.2;1.9;1.7
Bergen - Florida;SN50540;06.03.2021;4.3;3.7;4.4
Bergen - Florida;SN50540;07.03.2021;5.5;3.1;2.4
Bergen - Florida;SN50540;08.03.2021;0;2.7;1.6
Bergen - Florida;SN50540;09.03.2021;0;2.3;2.8
Bergen - Florida;SN50540;10.03.2021;0;10.9;4.6
Bergen - Florida;SN50540;11.03.2021;6;8;5.6
Bergen - Florida;SN50540;12.03.2021;16.5;4.1;4.6
Bergen - Florida;SN50540;13.03.2021;14.6;3.5;3.1
Bergen - Florida;SN50540;14.03.2021;20.6;4.1;3.8
Bergen - Florida;SN50540;15.03.2021;12.6;3.7;4
Bergen - Florida;SN50540;16.03.2021;0;2.9;3.3
Bergen - Florida;SN50540;17.03.2021;0.1;1.7;3.9
Bergen - Florida;SN50540;18.03.2021;0;2.5;5.2
Bergen - Florida;SN50540;19.03.2021;0;3.4;4.2
Bergen - Florida;SN50540;20.03.2021;1.5;4.5;5.4
Bergen - Florida;SN50540;21.03.2021;7.6;4.8;4.5
Bergen - Florida;SN50540;22.03.2021;2.3;2.8;6.1
Bergen - Florida;SN50540;23.03.2021;11.8;5.2;7.4
Bergen - Florida;SN50540;24.03.2021;4.7;4.4;6.8
Bergen - Florida;SN50540;25.03.2021;10.9;4.9;6.4
Bergen - Florida;SN50540;26.03.2021;8.3;6.3;7.3
Bergen - Florida;SN50540;27.03.2021;18.5;3.5;5.8
Bergen - Florida;SN50540;28.03.2021;0.4;5.2;6.1
Bergen - Florida;SN50540;29.03.2021;14.1;5.7;8.4
Bergen - Florida;SN50540;30.03.2021;8.4;4;8.1
Bergen - Florida;SN50540;31.03.2021;44.3;4;6.2
Bergen - Florida;SN50540;01.04.2021;0;3.1;4.8
Bergen - Florida;SN50540;02.04.2021;1.6;5.4;5.8
Bergen - Florida;SN50540;03.04.2021;0;3.1;5.4
Bergen - Florida;SN50540;04.04.2021;0.7;5.3;4.4
Bergen - Florida;SN50540;05.04.2021;24.8;7.6;1.3
Bergen - Florida;SN50540;06.04.2021;7.3;4.8;2.5
Bergen - Florida;SN50540;07.04.2021;2.7;6.1;3.2
Bergen - Florida;SN50540;08.04.2021;1;5;1.9
Bergen - Florida;SN50540;09.04.2021;23.1;5.7;3.3
Bergen - Florida;SN50540;10.04.2021;9.2;2;2.5
Bergen - Florida;SN50540;11.04.2021;2.7;1.8;3.8
Bergen - Florida;SN50540;12.04.2021;0;4.1;6.6
Bergen - Florida;SN50540;13.04.2021;0;4.4;4.8
Bergen - Florida;SN50540;14.04.2021;0.9;1.9;4.4
Bergen - Florida;SN50540;15.04.2021;1.5;1.8;5.8
Bergen - Florida;SN50540;16.04.2021;0;1.6;7.3
Bergen - Florida;SN50540;17.04.2021;0.1;1.2;8.3
Bergen - Florida;SN50540;18.04.2021;0;1.6;10
Bergen - Florida;SN50540;19.04.2021;0;2.3;11.1
Bergen - Florida;SN50540;20.04.2021;0;4;8.6
Bergen - Florida;SN50540;21.04.2021;9.9;6.9;5.2
Bergen - Florida;SN50540;22.04.2021;1.5;5;6.1
Bergen - Florida;SN50540;23.04.2021;0.6;4.6;5.7
Bergen - Florida;SN50540;24.04.2021;0;4.1;5.3
Bergen - Florida;SN50540;25.04.2021;0;3.7;5.8
Bergen - Florida;SN50540;26.04.2021;0;1.7;6.4
Bergen - Florida;SN50540;27.04.2021;0;2;7
Bergen - Florida;SN50540;28.04.2021;0;1.8;6.8
Bergen - Florida;SN50540;29.04.2021;0.3;1.7;7.1
Bergen - Florida;SN50540;30.04.2021;0;2.2;7.8
Bergen - Florida;SN50540;01.05.2021;0;2.2;7.2
Bergen - Florida;SN50540;02.05.2021;0.2;2.2;6.9
Bergen - Florida;SN50540;03.05.2021;0;2.3;6.2
Bergen - Florida;SN50540;04.05.2021;0.8;2.5;8.3
Bergen - Florida;SN50540;05.05.2021;0;4.4;10
Bergen - Florida;SN50540;06.05.2021;0.5;2.5;6.9
Bergen - Florida;SN50540;07.05.2021;0.3;2.9;8.4
Bergen - Florida;SN50540;08.05.2021;0;2.1;6.8
Bergen - Florida;SN50540;09.05.2021;3.5;3.6;10.1
Bergen - Florida;SN50540;10.05.2021;10.5;3.8;12.1
Bergen - Florida;SN50540;11.05.2021;3.9;5.7;13
Bergen - Florida;SN50540;12.05.2021;0;2.6;12.9
Bergen - Florida;SN50540;13.05.2021;0.1;2.6;11.2
Bergen - Florida;SN50540;14.05.2021;0.1;1.5;13.4
Bergen - Florida;SN50540;15.05.2021;0.4;1.5;13.2
Bergen - Florida;SN50540;16.05.2021;2.4;2.5;9.8
Bergen - Florida;SN50540;17.05.2021;1.3;3.1;11.6
Bergen - Florida;SN50540;18.05.2021;1.8;2.5;8.8
Bergen - Florida;SN50540;19.05.2021;5.2;2.4;9.5
Bergen - Florida;SN50540;20.05.2021;0.7;3.6;9.4
Bergen - Florida;SN50540;21.05.2021;0;2.4;10.1
Bergen - Florida;SN50540;22.05.2021;0;1.7;12.2
Bergen - Florida;SN50540;23.05.2021;2.7;1.8;11.8
Bergen - Florida;SN50540;24.05.2021;16.5;2.6;11.3
Bergen - Florida;SN50540;25.05.2021;2.4;3.8;13.4
Bergen - Florida;SN50540;26.05.2021;0.1;3.5;16.4
Bergen - Florida;SN50540;27.05.2021;0;2.3;15.9
Bergen - Florida;SN50540;28.05.2021;0;2.6;13.9
Bergen - Florida;SN50540;29.05.2021;0.1;2.7;13.6
Bergen - Florida;SN50540;30.05.2021;0;2.5;13.5
Bergen - Florida;SN50540;31.05.2021;0;2.2;13.1
Bergen - Florida;SN50540;01.06.2021;0;2;15.9
Bergen - Florida;SN50540;02.06.2021;0;2.4;18.8
Bergen - Florida;SN50540;03.06.2021;0;3.1;20.2
Bergen - Florida;SN50540;04.06.2021;0;2.7;17.2
Bergen - Florida;SN50540;05.06.2021;0.4;2.1;17.5
Bergen - Florida;SN50540;06.06.2021;2.2;2.7;16
Bergen - Florida;SN50540;07.06.2021;0;2.5;15.6
Bergen - Florida;SN50540;08.06.2021;0;2.6;16.5
Bergen - Florida;SN50540;09.06.2021;0;4.3;16.7
Bergen - Florida;SN50540;10.06.2021;5.5;4.8;15.8
Bergen - Florida;SN50540;11.06.2021;5.5;5;14.9
Bergen - Florida;SN50540;12.06.2021;2.3;3.9;11.9
Bergen - Florida;SN50540;13.06.2021;2.1;4.6;11.6
Bergen - Florida;SN50540;14.06.2021;49;2.4;11.3
Bergen - Florida;SN50540;15.06.2021;19.1;2.9;10.9
Bergen - Florida;SN50540;16.06.2021;0.9;5.5;13.6
