date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,4.1,2.9,7.1,0,0,85,19.6,43.2,999.6,
2024-01-02,2.2,0.3,4.2,0,0,84,19.1,42.5,999,
2024-01-03,-1.4,-2.5,0.6,0,0,86,15.3,31.7,996.7,
2024-01-04,-4.5,-6.1,-2.1,0,0,123,5.2,13.7,1006.6,
2024-01-05,-6.8,-8,-3.1,0,0,102,4.8,13,1012.4,
2024-01-06,-7.7,-9.3,-3.8,0,0,126,7.8,18.4,1021.5,
2024-01-07,-4.8,-8.3,-0.7,0,0,129,9.7,25.2,1032.3,
2024-01-08,-2.1,-5.5,0.3,0,0,88,4.6,13.3,1041,
2024-01-09,0.2,-3.3,2.9,0,0,359,9,24.5,1039.1,
2024-01-10,-1.8,-4.5,1.4,0,0,338,6.8,23.8,1035.7,
2024-01-11,2.1,-0.2,3,0,0,337,11.5,28.8,1036.5,
2024-01-12,2.2,1.2,3.4,20.9,0,109,7.9,28.4,1028.8,
2024-01-13,3.6,1.7,6.2,5.3,0,324,16.4,55.8,1006.6,
2024-01-14,1.2,-0.4,3,5.6,0,357,11.6,32.8,996.4,
2024-01-15,-2.8,-3.8,0.1,2.3,50,21,7.3,23.4,994.7,
2024-01-16,-3.1,-7.2,-1.1,10.2,70,142,14.5,49.7,992.9,
2024-01-17,-4.9,-7.1,-1.5,3.2,250,49,4.6,16.6,984.4,
2024-01-18,-3.4,-8,-1.1,18,260,133,7.9,28.1,990.9,
2024-01-19,-0.6,-3.1,1.8,7.8,380,70,13.1,67,998,
2024-01-20,-0.9,-5.9,3.2,6.9,380,142,17.9,53.6,1006.9,
2024-01-21,4.2,2.1,5.1,36.7,190,155,28.5,74.5,995,
2024-01-22,7,5.1,8.8,19.2,0,203,31.4,86.8,971,
2024-01-23,4.7,3.5,6.7,14,0,165,18.4,64.1,995.4,
2024-01-24,7.1,3,8.3,13.2,0,246,19.1,59.8,987.5,
2024-01-25,5.1,3.3,7.3,4.2,0,116,12.6,51.5,1015.6,
2024-01-26,5.5,2.8,7.4,22.2,0,154,18.2,67.3,1005.1,
2024-01-27,6.8,3.4,7.6,3.1,0,166,18.6,47.9,1016.4,
2024-01-28,7.3,6.3,7.6,16.9,0,165,32.1,69.5,1013.6,
2024-01-29,5.3,3.1,9.3,0,0,160,10.3,67,1019.3,
2024-01-30,1.2,0.2,4.4,0,0,128,5.8,24.5,1021.8,
2024-01-31,4.6,-0.5,6.6,36.5,0,185,30.5,92.2,1006.7,
2024-02-01,3.4,1.4,5.4,26.5,0,297,25.2,100.8,1007.4,
2024-02-02,6.8,2.4,8.9,34.5,0,211,21.3,54,1002.8,
2024-02-03,5.1,2.6,9.3,15.6,0,287,23.4,79.2,1001.2,
2024-02-04,2.9,0.9,4.6,12.7,0,287,18.8,74.2,996.1,
2024-02-05,-0.1,-2.5,4.7,0,20,76,9.6,73.8,1000.2,
2024-02-06,-1.9,-4.6,0.4,6.5,20,59,10.5,58.3,990.5,
2024-02-07,-2.1,-4.4,-0.3,9.3,120,131,12.3,43.2,995.1,
2024-02-08,-3.1,-6.4,0.5,0,190,97,6,16.2,997.8,
2024-02-09,-5.3,-7.7,-0.4,0.1,190,79,5.5,16.2,999.9,
