Name;Station;Time(norwegian mean time);Precipitation (24 h)
Bergen - Florida;SN50540;01.01.2021;0
Bergen - Florida;SN50540;02.01.2021;0
Bergen - Florida;SN50540;03.01.2021;0
Bergen - Florida;SN50540;04.01.2021;0
Bergen - Florida;SN50540;05.01.2021;0
Bergen - Florida;SN50540;06.01.2021;0
Bergen - Florida;SN50540;07.01.2021;0
Bergen - Florida;SN50540;08.01.2021;0
Bergen - Florida;SN50540;09.01.2021;0
Bergen - Florida;SN50540;10.01.2021;15.4
Bergen - Florida;SN50540;11.01.2021;8.4
Bergen - Florida;SN50540;12.01.2021;0.9
Bergen - Florida;SN50540;13.01.2021;3.5
Bergen - Florida;SN50540;14.01.2021;0
Bergen - Florida;SN50540;15.01.2021;0
Bergen - Florida;SN50540;16.01.2021;0
Bergen - Florida;SN50540;17.01.2021;1.2
Bergen - Florida;SN50540;18.01.2021;6.5
Bergen - Florida;SN50540;19.01.2021;9
Bergen - Florida;SN50540;20.01.2021;0.1
Bergen - Florida;SN50540;21.01.2021;12.7
Bergen - Florida;SN50540;22.01.2021;4.9
Bergen - Florida;SN50540;23.01.2021;38.7
Bergen - Florida;SN50540;24.01.2021;3.5
Bergen - Florida;SN50540;25.01.2021;0
Bergen - Florida;SN50540;26.01.2021;2.3
Bergen - Florida;SN50540;27.01.2021;0.3
Bergen - Florida;SN50540;28.01.2021;0
Bergen - Florida;SN50540;29.01.2021;1.3
Bergen - Florida;SN50540;30.01.2021;0.4
Bergen - Florida;SN50540;31.01.2021;3.3
Bergen - Florida;SN50540;01.02.2021;5.5
Bergen - Florida;SN50540;02.02.2021;0
Bergen - Florida;SN50540;03.02.2021;0
Bergen - Florida;SN50540;04.02.2021;0
Bergen - Florida;SN50540;05.02.2021;0.7
Bergen - Florida;SN50540;06.02.2021;0
Bergen - Florida;SN50540;07.02.2021;0
Bergen - Florida;SN50540;08.02.2021;0
Bergen - Florida;SN50540;09.02.2021;0
Bergen - Florida;SN50540;10.02.2021;0
Bergen - Florida;SN50540;11.02.2021;0
Bergen - Florida;SN50540;12.02.2021;0
Bergen - Florida;SN50540;13.02.2021;0
Bergen - Florida;SN50540;14.02.2021;0
Bergen - Florida;SN50540;15.02.2021;0
Bergen - Florida;SN50540;16.02.2021;0.3
Bergen - Florida;SN50540;17.02.2021;2.2
Bergen - Florida;SN50540;18.02.2021;3.2
